iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
59,0.7130749225616455,1.6190330529611906e-05,3.4442214751072746e-05,AFW,0,26
60,0.72080397605896,1.574727551580867e-05,3.714915849918215e-05,AFW,0,26
61,0.7444019317626953,1.5047358849614659e-05,3.414091772926225e-05,AFW,0,26
62,0.7522280216217041,1.390820398099382e-05,2.8709098879186396e-05,AFW,0,26
63,0.7691001892089844,1.3744111516785079e-05,2.6691436078343976e-05,AFW,0,26
64,0.7863850593566895,1.3641779108118267e-05,2.5316853652984156e-05,AFW,0,26
65,0.794849157333374,1.3390817598199078e-05,3.7253192192587194e-05,AFW,0,26
66,0.8231360912322998,1.2539303819042974e-05,3.350903622680171e-05,AFW,0,26
67,0.8507850170135498,1.2094006705578963e-05,2.496654808369908e-05,AFW,0,26
68,0.8597011566162109,1.1510561832273716e-05,4.4982554218998233e-05,AFW,0,26
69,0.8958370685577393,1.0492024585273754e-05,4.088108688002748e-05,AFW,0,26
70,0.9318459033966064,9.63458942621171e-06,3.060273365188621e-05,AFW,0,26
71,0.9692261219024658,9.371797923990823e-06,1.9617241332311277e-05,AFW,0,26
72,0.9919891357421875,9.31659828253559e-06,1.8618931306635384e-05,AFW,0,26
73,1.0380690097808838,9.231588361821647e-06,1.3927531477562949e-05,AFW,0,26
74,1.0786809921264648,9.047136616230686e-06,1.3336852156953731e-05,AFW,0,26
75,1.0884490013122559,8.404384508421037e-06,3.327371936617486e-05,AFW,0,26
76,1.122040033340454,7.896328108296548e-06,1.95564785130821e-05,AFW,0,26
77,1.1327250003814697,7.882302233337758e-06,1.9528201478308785e-05,AFW,0,26
78,1.1498699188232422,7.6179487623033505e-06,1.978036328094026e-05,AFW,0,26
79,1.1914150714874268,7.514786710657855e-06,1.7615818464236753e-05,AFW,0,26
80,1.2311310768127441,7.243042240263966e-06,1.141206686652142e-05,AFW,0,26
81,1.2421588897705078,6.888870169065329e-06,2.755548067626133e-05,AFW,0,26
82,1.2813022136688232,6.35286731477695e-06,2.54114692591078e-05,AFW,0,26
83,1.2999451160430908,6.176022459513183e-06,2.4704089838052727e-05,AFW,0,26
84,1.3359718322753906,5.790721001797365e-06,2.252649905847518e-05,AFW,0,26
85,1.3540711402893066,5.543381890575404e-06,2.1478182054585667e-05,AFW,0,26
86,1.3933830261230469,5.338093353322894e-06,1.450701567177446e-05,AFW,0,26
87,1.411849021911621,5.186877977298441e-06,1.3503455922562439e-05,AFW,0,26
88,1.4550201892852783,5.153059015659929e-06,1.3150477108489665e-05,AFW,0,26
89,1.4754791259765625,5.1083421015485496e-06,1.270261512464525e-05,AFW,0,26
90,1.5101509094238281,5.03763527788011e-06,1.1372521915502045e-05,AFW,0,26
91,1.5416059494018555,4.9924360592711694e-06,1.0515395219229776e-05,AFW,0,26
92,1.5704991817474365,4.963498211920932e-06,8.001940016415922e-06,AFW,0,26
0,0.0,0.0002977716589198467,0.0006911252938367231,PFW,0,27
1,0.0072858333587646484,0.0002842781361555866,0.0006843777067882987,PFW,0,27
2,0.015045881271362305,0.0002559630434425476,0.0006222402495768744,PFW,0,27
3,0.02306675910949707,0.00025451036694265313,0.0006156202883546259,PFW,0,27
4,0.030987977981567383,0.0002356815571370786,0.0007154707265919077,PFW,0,27
5,0.038672685623168945,0.00021227158760925906,0.000613223550915502,PFW,0,27
6,0.045738935470581055,0.0001979090890757439,0.0006463559896488565,PFW,0,27
7,0.0528256893157959,0.000167886977552373,0.00043705514206280574,PFW,0,27
8,0.059317827224731445,0.00015652639640590364,0.0004561019594990951,PFW,0,27
9,0.0659487247467041,0.00015292342687331497,0.00042418207867487906,PFW,0,27
10,0.07274270057678223,0.00014017873033540524,0.0003518143170963802,PFW,0,27
11,0.07957983016967773,0.00013032261812309277,0.00029209389636687677,PFW,0,27
12,0.0865468978881836,0.00012339810293550022,0.00024275282610664037,PFW,0,27
13,0.0930638313293457,0.00012150309407539617,0.0002468437332845189,PFW,0,27
14,0.09973502159118652,0.00012142486299421326,0.00024616408925537067,PFW,0,27
15,0.10642504692077637,0.00011598896303042032,0.00024546923332093023,PFW,0,27
16,0.11330986022949219,9.960427016331333e-05,0.00023030689757628524,PFW,0,27
17,0.12017583847045898,9.780043745424816e-05,0.00022157067239228853,PFW,0,27
18,0.12733697891235352,9.295502510268167e-05,0.00020075034954943668,PFW,0,27
19,0.13512396812438965,8.521421872062649e-05,0.00016869704772419925,PFW,0,27
20,0.14161086082458496,8.303370380388002e-05,0.00015328684038939678,PFW,0,27
21,0.14850497245788574,7.741120883266502e-05,0.00022623840891511927,PFW,0,27
22,0.15549373626708984,6.978147006240227e-05,0.0002386756463124977,PFW,0,27
23,0.16230177879333496,6.720055742102766e-05,0.00022823812219940459,PFW,0,27
24,0.169508695602417,5.621305520969264e-05,0.00018588370995849788,PFW,0,27
25,0.17635393142700195,5.237978903680903e-05,0.00016601211852285383,PFW,0,27
26,0.18369197845458984,4.750072281677805e-05,0.00014458812650838462,PFW,0,27
27,0.19008398056030273,4.699713527662364e-05,0.00014160875031725032,PFW,0,27
28,0.19707679748535156,4.4959644568235755e-05,0.00013222119483237435,PFW,0,27
29,0.20526790618896484,3.9082050990436967e-05,0.00010532505377733915,PFW,0,27
30,0.21347784996032715,3.4421259631472e-05,0.0001223189580555626,PFW,0,27
31,0.22192096710205078,2.7280911916789527e-05,8.778618270133383e-05,PFW,0,27
32,0.23425793647766113,2.370252298128298e-05,7.067941637922711e-05,PFW,0,27
33,0.24268174171447754,2.0140769770592334e-05,5.176359353411716e-05,PFW,0,27
34,0.25090789794921875,1.934721367574842e-05,5.090223041843576e-05,PFW,0,27
35,0.2589268684387207,1.701136541578681e-05,5.165050754105895e-05,PFW,0,27
36,0.2748987674713135,1.626470121665698e-05,4.7795604888236314e-05,PFW,0,27
37,0.28362011909484863,1.4671736525711513e-05,5.188863021217043e-05,PFW,0,27
38,0.2915220260620117,1.2796432738012915e-05,4.778007296468396e-05,PFW,0,27
39,0.29949283599853516,1.2745905761052286e-05,4.732565925708987e-05,PFW,0,27
40,0.31183290481567383,1.1982386360267108e-05,4.218923355643942e-05,PFW,0,27
41,0.32019972801208496,1.1191108553596984e-05,4.3231739042026815e-05,PFW,0,27
42,0.3305840492248535,1.0633912092191885e-05,3.587286342035513e-05,PFW,0,27
43,0.3441007137298584,1.0389581316669125e-05,3.4370170490247636e-05,PFW,0,27
44,0.35294675827026367,9.234439871000186e-06,3.6937759484000743e-05,PFW,0,27
45,0.363008975982666,8.455963147830435e-06,3.3823852591321746e-05,PFW,0,27
46,0.3721799850463867,7.75115047469288e-06,2.925633803339999e-05,PFW,0,27
47,0.3824927806854248,7.270751054748585e-06,2.71994161687415e-05,PFW,0,27
48,0.39317989349365234,6.834912546846705e-06,2.4474197307771097e-05,PFW,0,27
49,0.40397191047668457,6.544024603575878e-06,1.8970715782874127e-05,PFW,0,27
50,0.41640377044677734,6.325349098886895e-06,1.786232207575301e-05,PFW,0,27
51,0.42972588539123535,6.168030372866214e-06,1.7213296012982195e-05,PFW,0,27
52,0.4428708553314209,6.02124864244861e-06,1.6185576335426803e-05,PFW,0,27
53,0.4566009044647217,5.894392960677229e-06,1.5539306356803967e-05,PFW,0,27
54,0.47012877464294434,5.7773523460956144e-06,1.4883043235098464e-05,PFW,0,27
55,0.48270297050476074,5.7203322955397066e-06,1.2785962614693223e-05,PFW,0,27
56,0.4974970817565918,5.637091396203025e-06,1.2202381494609363e-05,PFW,0,27
57,0.5128109455108643,5.56391848515733e-06,1.1773324076761399e-05,PFW,0,27
58,0.5277266502380371,5.504305243367104e-06,9.902683926042352e-06,PFW,0,27
0,0.0,0.0002977716589198467,0.0006911252938367231,BPFW,0,27
1,0.006659984588623047,0.0002842781361555866,0.0006843777067882987,BPFW,0,27
2,0.013484954833984375,0.0002559630434425476,0.0006222402495768744,BPFW,0,27
3,0.021184921264648438,0.00025451036694265313,0.0006156202883546259,BPFW,0,27
4,0.02831411361694336,0.0002356815571370786,0.0007154707265919077,BPFW,0,27
5,0.03513598442077637,0.00021227158760925906,0.000613223550915502,BPFW,0,27
6,0.041944026947021484,0.0001979090890757439,0.0006463559896488565,BPFW,0,27
7,0.04877114295959473,0.000167886977552373,0.00043705514206280574,BPFW,0,27
8,0.05519723892211914,0.00015652639640590364,0.0004561019594990951,BPFW,0,27
9,0.062107086181640625,0.00015292342687331497,0.00042418207867487906,BPFW,0,27
10,0.06943297386169434,0.00014017873033540524,0.0003518143170963802,BPFW,0,27
11,0.07658791542053223,0.00013032261812309277,0.00029209389636687677,BPFW,0,27
12,0.08359599113464355,0.00012339810293550022,0.00024275282610664037,BPFW,0,27
13,0.09076094627380371,0.00012150309407539617,0.0002468437332845189,BPFW,0,27
14,0.09763598442077637,0.00012142486299421326,0.00024616408925537067,BPFW,0,27
15,0.10410690307617188,0.00011598896303042032,0.00024546923332093023,BPFW,0,27
16,0.11069011688232422,9.960427016331333e-05,0.00023030689757628524,BPFW,0,27
17,0.11778497695922852,9.780043745424816e-05,0.00022157067239228853,BPFW,0,27
18,0.1245732307434082,9.295502510268167e-05,0.00020075034954943668,BPFW,0,27
19,0.13133907318115234,8.521421872062649e-05,0.00016869704772419925,BPFW,0,27
20,0.1378469467163086,8.303370380388002e-05,0.00015328684038939678,BPFW,0,27
21,0.1446390151977539,7.741120883266502e-05,0.00022623840891511927,BPFW,0,27
22,0.15159225463867188,6.978147006240227e-05,0.0002386756463124977,BPFW,0,27
23,0.1599102020263672,6.720055742102766e-05,0.00022823812219940459,BPFW,0,27
24,0.16701102256774902,5.621305520969264e-05,0.00018588370995849788,BPFW,0,27
25,0.1742870807647705,5.237978903680903e-05,0.00016601211852285383,BPFW,0,27
26,0.18243098258972168,4.750072281677805e-05,0.00014458812650838462,BPFW,0,27
27,0.18949294090270996,4.699713527662364e-05,0.00014160875031725032,BPFW,0,27
28,0.1970071792602539,4.4959644568235755e-05,0.00013222119483237435,BPFW,0,27
29,0.20499086380004883,3.9082050990436967e-05,0.00010532505377733915,BPFW,0,27
30,0.2125101089477539,3.4421259631472e-05,0.0001223189580555626,BPFW,0,27
31,0.22112202644348145,2.7280911916789527e-05,8.778618270133383e-05,BPFW,0,27
32,0.23447394371032715,2.370252298128298e-05,7.067941637922711e-05,BPFW,0,27
33,0.24292492866516113,2.0140769770592334e-05,5.176359353411716e-05,BPFW,0,27
34,0.25118112564086914,1.934721367574842e-05,5.090223041843576e-05,BPFW,0,27
35,0.2593991756439209,1.701136541578681e-05,5.165050754105895e-05,BPFW,0,27
36,0.27367401123046875,1.626470121665698e-05,4.7795604888236314e-05,BPFW,0,27
37,0.2816901206970215,1.4671736525711513e-05,5.188863021217043e-05,BPFW,0,27
38,0.28960704803466797,1.2796432738012915e-05,4.778007296468396e-05,BPFW,0,27
39,0.2973759174346924,1.2745905761052286e-05,4.732565925708987e-05,BPFW,0,27
40,0.3097541332244873,1.1982386360267108e-05,4.218923355643942e-05,BPFW,0,27
41,0.3176391124725342,1.1191108553596984e-05,4.3231739042026815e-05,BPFW,0,27
42,0.32689404487609863,1.0633912092191885e-05,3.587286342035513e-05,BPFW,0,27
43,0.3383190631866455,1.0389581316669125e-05,3.4370170490247636e-05,BPFW,0,27
44,0.3453860282897949,9.234439871000186e-06,3.6937759484000743e-05,BPFW,0,27
45,0.3558650016784668,8.757778722211932e-06,3.503111488884773e-05,BPFW,0,27
46,0.36847805976867676,8.38566764659047e-06,3.354267058636188e-05,BPFW,0,27
47,0.3813951015472412,8.046555974029324e-06,3.21862238961173e-05,BPFW,0,27
48,0.3938028812408447,7.756363892180252e-06,3.102545556872101e-05,BPFW,0,27
49,0.408128023147583,7.563755761399499e-06,3.0255023045597993e-05,BPFW,0,27
50,0.4216601848602295,7.437261225552391e-06,2.9749044902209564e-05,BPFW,0,27
51,0.439532995223999,7.3712496825484854e-06,2.9484998730193942e-05,BPFW,0,27
52,0.45642900466918945,7.261257494452884e-06,2.9045029977811534e-05,BPFW,0,27
53,0.47460007667541504,7.157123291682998e-06,2.8628493166731988e-05,BPFW,0,27
54,0.48949694633483887,7.040156460954386e-06,2.8160625843817544e-05,BPFW,0,27
55,0.5095400810241699,6.946818191581142e-06,2.7787272766324572e-05,BPFW,0,27
56,0.5421428680419922,6.398564687112183e-06,2.5594258748448736e-05,BPFW,0,27
57,0.558664083480835,6.196342553826948e-06,2.4785370215307796e-05,BPFW,0,27
58,0.5760371685028076,6.041644718794747e-06,2.4166578875178988e-05,BPFW,0,27
59,0.5997319221496582,5.684751731672539e-06,1.202633430230243e-05,BPFW,0,27
60,0.6144628524780273,5.439981225492929e-06,1.0972406718261949e-05,BPFW,0,27
