iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
9,0.06344413757324219,0.0018062025338481304,0.005141527878191608,AFW,1,6
10,0.07651615142822266,0.0016102218056563465,0.004887913026404438,AFW,1,6
11,0.0888819694519043,0.001396363042328137,0.0031313196560991624,AFW,1,6
12,0.10287618637084961,0.0013324810977964271,0.002447778688483402,AFW,1,6
13,0.11855792999267578,0.0012800176645493743,0.0020622421915100866,AFW,1,6
14,0.1331930160522461,0.001260939870361275,0.0015010420599269295,AFW,1,6
15,0.14693212509155273,0.0012409229637547511,0.0009937038954993809,AFW,1,6
16,0.16587400436401367,0.0012368851653948552,0.0011985083164191563,AFW,1,6
17,0.18477106094360352,0.0012239949612621614,0.0006055758033995342,AFW,1,6
18,0.2066192626953125,0.0012205429441964068,0.0005715094601020571,AFW,1,6
19,0.21816706657409668,0.0011439600359723632,0.0015474925338612529,AFW,1,6
20,0.22231125831604004,0.001114934993608197,0.0014909882208125743,AFW,1,6
21,0.22650408744812012,0.0011021983880020526,0.001466027005426055,AFW,1,6
22,0.23079299926757812,0.001062571909794147,0.0013573112367523464,AFW,1,6
23,0.23501324653625488,0.0010208348868119162,0.0013046864367164733,AFW,1,6
24,0.23937511444091797,0.0009967782054948592,0.0013433808708339563,AFW,1,6
25,0.24364328384399414,0.0009595929378047963,0.0015610771118993489,AFW,1,6
26,0.24811124801635742,0.0009017702491101727,0.0016086829507863062,AFW,1,6
27,0.2521090507507324,0.000841768405012024,0.00196606538244553,AFW,1,6
28,0.25607824325561523,0.0008215510144255364,0.001977747193015133,AFW,1,6
29,0.2602701187133789,0.0008116447107307551,0.002090127642585704,AFW,1,6
30,0.26506614685058594,0.0007819556197244019,0.0021389842642366703,AFW,1,6
31,0.26934099197387695,0.000774724402725241,0.002193488495359737,AFW,1,6
32,0.2740061283111572,0.000760431567786314,0.002309257315710686,AFW,1,6
33,0.2784912586212158,0.0007347978807969988,0.0025057357961493134,AFW,1,6
34,0.28328919410705566,0.0007188964913682778,0.002518970155557755,AFW,1,6
35,0.2875330448150635,0.0007155072937621691,0.002504984150440022,AFW,1,6
